Month,Colorado,California,Arkansas,Arizona,Alaska,Alabama,Federal Offshore Gulf of Mexico,Federal Offshore Pacific,Florida,Idaho,Illinois,Indiana,Kentucky,Louisiana,Kansas,Michigan,Mississippi,Wyoming,West Virginia,Virginia,Utah,Texas,Tennessee,South Dakota,Pennsylvania,Ohio,North Dakota,Oklahoma,New York,New Mexico,Nevada,Nebraska,Montana,Missouri,U.S.
8-Jun,82,583,17,0,655,21,1326,67,5,0,26,5,5,215,107,17,65,144,6,0,60,1097,1,5,8,14,165,186,1,161,1,6,86,0,5138
8-Jul,81,586,17,0,640,21,1372,61,6,0,27,5,7,214,103,17,60,145,5,0,61,1111,1,5,8,14,172,184,1,163,1,6,84,0,5177
8-Aug,82,588,17,0,544,21,1272,70,5,0,26,5,10,203,110,17,59,145,6,0,62,1110,1,5,8,14,178,188,1,163,1,7,84,0,5003
8-Sep,88,587,16,0,681,21,242,67,5,0,27,6,4,113,116,17,60,144,6,0,63,1055,1,5,8,14,189,186,1,157,1,7,86,0,3974
8-Oct,86,586,17,0,716,21,803,66,6,0,26,6,8,186,111,17,64,145,6,0,64,1125,1,5,8,14,203,185,1,169,1,7,86,0,4738
8-Nov,87,586,17,0,728,22,1090,66,6,0,25,5,11,198,111,17,61,147,5,0,66,1141,1,5,8,14,214,181,1,171,1,7,86,0,5078
8-Dec,83,579,17,0,702,22,1197,68,4,0,25,5,4,194,110,20,63,143,5,0,62,1134,1,5,8,14,201,176,1,171,1,7,83,0,5103
9-Jan,85,579,16,0,679,21,1281,67,2,0,23,4,10,188,112,17,62,144,3,0,65,1133,1,5,8,13,187,173,1,171,1,7,81,0,5138
9-Feb,87,575,16,0,708,21,1323,65,2,0,25,5,7,192,112,18,62,143,3,0,66,1128,1,5,8,13,191,193,1,175,1,7,82,0,5236
9-Mar,86,577,16,0,709,20,1355,40,2,0,27,5,5,190,108,17,62,140,6,0,65,1118,1,5,8,13,194,177,1,173,1,6,81,0,5210
9-Apr,81,573,16,0,653,20,1465,63,2,0,25,5,3,194,109,17,64,143,4,0,64,1110,1,5,8,13,196,188,1,166,1,6,80,0,5278
9-May,82,573,16,0,678,20,1553,61,2,0,25,4,11,191,106,17,62,142,3,0,65,1089,1,4,8,13,205,189,1,167,1,6,79,0,5374
9-Jun,83,572,16,0,571,19,1561,65,2,0,25,5,5,190,110,17,62,142,6,0,64,1071,1,5,8,13,214,188,1,163,1,6,77,0,5263
9-Jul,81,566,16,0,551,19,1735,64,2,0,25,5,10,185,110,16,63,138,3,0,62,1063,1,4,8,13,227,177,1,160,1,6,75,0,5389
9-Aug,82,565,16,0,572,19,1734,63,2,0,25,5,4,187,106,16,63,137,4,0,62,1067,1,4,8,13,231,173,1,164,1,6,74,0,5406
9-Sep,83,565,16,0,652,19,1752,61,2,0,26,5,10,191,110,17,63,141,5,0,61,1081,1,4,8,13,237,184,1,165,1,6,74,0,5555
9-Oct,81,560,15,0,659,19,1725,63,2,0,25,5,7,190,105,17,64,142,3,0,62,1081,1,5,8,13,239,175,1,168,1,6,72,0,5515
9-Nov,85,559,15,0,662,20,1563,62,2,0,24,5,5,181,109,17,65,145,3,0,61,1101,1,5,8,13,245,169,1,173,1,6,71,0,5378
9-Dec,82,551,15,0,655,19,1680,60,2,0,25,5,7,183,102,19,70,138,5,0,60,1090,1,4,8,13,241,158,1,167,1,6,70,0,5438
10-Jan,86,549,15,0,640,18,1655,61,3,0,22,4,11,174,103,20,67,140,4,0,59,1099,1,4,9,13,235,152,1,170,1,6,68,0,5390
10-Feb,88,549,16,0,635,18,1711,60,4,0,26,5,5,181,108,20,67,143,4,0,61,1121,1,5,9,13,260,182,1,179,1,6,71,0,5548
