Month,U.S.,Alaska,Arkansas,California,Colorado,Kansas,Louisiana,Montana,North,Ohio,Pennsylvania,Utah,Other,Federal Offshore Gulf Of Mexico,Wyoming,West Virginia,Texas Natural,Oklahoma,New Mexico
8-Jun,70626,8875,1196,932,3576,1024,3989,323,243,224,540,1198,2995,7339,6839,670,21446,5241,3975
8-Jul,71137,8375,1256,919,3834,1034,4008,324,243,220,512,1200,3150,7468,6940,674,21547,5256,4179
8-Aug,70760,8739,1313,881,4056,1033,3896,327,249,220,529,1277,3092,6868,6835,678,21777,4896,4092
8-Sep,63984,9221,1316,890,4049,1032,2960,330,260,224,542,1276,2953,2100,6447,657,20435,5224,4069
8-Oct,69464,9674,1375,870,3860,1026,3718,330,267,236,543,1241,3113,4368,6909,692,21948,5126,4168
8-Nov,71662,9876,1422,882,3978,1092,3916,326,269,245,524,1275,3311,5297,7126,681,22218,5145,4078
8-Dec,71840,9972,1517,866,3998,988,3802,302,242,248,569,1259,3064,5672,7297,657,22112,5318,3957
9-Jan,72643,9533,1605,876,4330,1009,3829,304,241,254,783,1273,3006,6351,7067,679,22211,5322,3968
9-Feb,74077,10007,1627,871,4353,1018,3925,311,243,251,832,1289,3280,6635,7220,695,22025,5433,4063
9-Mar,72983,9594,1679,864,4298,994,3941,305,245,245,758,1300,2901,6726,7135,712,22007,5262,4018
9-Apr,71595,9042,1774,850,4238,984,4034,302,250,242,730,1278,2750,6550,7028,724,21633,5207,3979
9-May,70659,8040,1816,869,4244,994,4119,297,247,236,714,1254,2946,6606,6957,731,21304,5325,3960
9-Jun,71351,8606,1877,857,4149,976,4134,292,249,234,746,1218,2912,7088,7030,735,21058,5331,3857
9-Jul,70001,8120,1839,845,4148,952,4220,286,258,230,708,1224,2792,7272,6446,733,20772,5293,3863
9-Aug,70729,8476,2047,810,4104,985,4382,281,263,230,731,1222,2979,6858,6746,741,20705,5241,3927
9-Sep,69641,8943,1571,819,4032,972,4448,279,260,235,749,1178,3019,6728,6461,751,20303,5076,3818
9-Oct,70876,9380,2028,801,3985,953,4616,275,255,247,749,1195,2945,6728,7010,743,19995,5055,3914
9-Nov,71472,9577,2217,812,4025,951,4801,268,267,256,724,1203,3179,6377,7256,742,19886,5067,3865
9-Dec,70849,9668,2273,797,3810,901,4772,263,262,259,785,1148,3369,6427,7057,706,19795,4923,3635
10-Jan,71296,9389,2263,915,4233,903,4930,265,252,223,733,1146,3017,6561,7074,702,20144,4915,3630
10-Feb,73136,9849,2295,909,4350,923,5193,264,272,221,733,1169,3301,6749,7092,711,20482,4976,3650
10-Mar,73437,9966,2340,901,4295,911,5385,267,279,215,733,1188,2877,6788,7110,708,20840,5005,3630
10-Apr,73009,9107,2450,883,4220,907,5585,265,282,213,1284,1223,2977,6507,7087,714,20559,5057,3688
10-May,72145,8009,2471,906,4306,812,5738,259,302,208,1284,1234,3042,6256,6950,717,20887,5063,3703
10-Jun,71292,7666,2517,895,4337,902,6067,258,305,206,1284,1216,3046,5988,6643,727,20598,5067,3569
10-Jul,71250,6641,2582,883,4359,876,6281,256,324,203,1779,1198,3103,5817,6784,729,20679,5032,3723
10-Aug,72098,6593,2660,848,4523,904,6415,251,331,203,1779,1200,3079,6165,6909,730,20802,4984,3725
10-Sep,74605,8809,2686,857,4600,890,6622,251,343,206,1779,1200,3194,5943,6786,738,20983,5004,3714
10-Oct,76031,9442,2706,839,4527,899,6542,249,348,217,2461,1207,3520,5954,6746,751,20974,5011,3637
10-Nov,75890,9534,2716,849,4161,895,6867,247,360,225,2461,1179,3122,5724,6821,754,21323,4959,3694
10-Dec,77433,10214,2789,836,4348,886,7248,236,343,228,2461,1201,3264,5857,6685,737,21361,5001,3738
11-Jan,74171,7663,2627,798,4331,873,7273,229,340,226,2718,1162,3206,5815,6540,884,21113,4998,3376
11-Feb,75155,9761,2664,816,4443,838,7480,223,342,223,2718,1205,3279,5482,6435,935,20216,4812,3283
11-Mar,77770,9800,2717,790,4320,866,7978,221,360,217,2718,1237,3251,5478,6504,976,21655,5036,3645
11-Apr,78324,9519,2845,796,4345,873,8115,221,359,215,3178,1269,3261,5407,6557,1016,21660,5110,3579
11-May,77770,8688,2868,776,4525,862,8278,219,364,210,3178,1290,3116,5292,6424,1030,21970,5087,3592
11-Jun,77098,8282,3088,776,4427,859,8163,217,397,208,3178,1287,3160,5029,6516,1078,21677,5197,3558
11-Jul,75493,6032,2837,757,4488,845,8344,218,434,204,3685,1294,3308,4802,6586,1135,21746,5186,3592
11-Aug,76466,6793,3088,748,4668,850,8637,217,466,204,3685,1298,3149,4890,6019,1118,21789,5247,3598
11-Sep,78606,8726,3118,734,4578,850,8797,225,492,208,3685,1286,3071,4160,6440,1211,22094,5340,3590
11-Oct,80722,8824,3141,714,4736,838,8877,211,515,220,4757,1287,3042,4616,6674,1180,22207,5335,3548
11-Nov,82532,10087,3153,744,4671,833,9055,208,534,227,4757,1293,3124,4614,6822,1171,22376,5355,3506
11-Dec,82056,9979,3238,732,4683,804,8908,206,552,230,4757,1262,3220,4628,6578,1214,22244,5372,3448
12-Jan,82947,10262,3091,685,5076,807,8581,202,572,231,5504,1288,3255,4558,6607,1337,21981,5358,3551
12-Feb,81381,9980,2953,697,4632,805,8140,202,587,231,5504,1338,3286,4502,6410,1355,21890,5315,3553
12-Mar,81428,9939,3091,623,4740,811,8102,198,620,231,5504,1341,3158,4606,6424,1320,21902,5305,3513
12-Apr,80583,9127,3125,663,4685,809,7994,195,641,231,5504,1339,3113,4458,6282,1348,22160,5431,3480
12-May,80345,9072,3094,691,4729,814,8068,184,678,231,5504,1348,2925,4216,6190,1431,22161,5529,3481
12-Jun,79226,8384,3097,671,4596,819,8309,167,701,231,5504,1363,2880,3934,6136,1430,22124,5474,3407
12-Jul,79518,6637,3089,670,4617,812,8364,172,719,231,6821,1370,3031,4134,6011,1418,22379,5540,3502
12-Aug,76579,4023,3173,687,4564,808,8210,176,762,231,6821,1353,3039,3560,5960,1523,22583,5619,3488
12-Sep,80346,7666,3202,666,4612,807,8075,179,797,231,6821,1375,3070,3705,5924,1537,22584,5637,3459
12-Oct,82488,9341,3212,705,4665,812,7961,174,798,231,6821,1375,3127,4104,5743,1654,22519,5674,3573
12-Nov,82379,9604,3235,655,4596,812,7644,176,781,231,6821,1318,3083,4188,5828,1682,22462,5776,3488
12-Dec,81412,9821,3209,679,4525,798,7447,172,817,231,6821,1271,3078,4137,5473,1659,22244,5679,3351
13-Jan,81033,9846,3153,676,4494,790,7407,170,792,273,8217,1228,1943,4012,5715,1643,22106,5436,3135
13-Feb,81068,9609,3090,693,4514,784,7324,170,835,273,8217,1295,1934,3921,5801,1641,22411,5193,3364
13-Mar,80774,9473,3072,696,4475,787,7080,171,846,273,8217,1297,1872,3810,5816,1712,22552,5213,3412
13-Apr,81544,9401,3098,703,4498,795,6896,172,861,346,8217,1320,1893,3862,5846,1800,22716,5607,3512
13-May,80280,8420,3125,692,4438,798,6810,174,900,346,8217,1301,1902,3693,5596,1968,22922,5527,3450
13-Jun,79513,7810,3122,697,4324,795,6663,182,933,346,8217,1295,1880,3476,5746,2125,23006,5411,3484
13-Jul,81046,7804,3112,701,4397,804,6495,179,972,546,9629,1299,1871,3549,5565,2151,23017,5455,3501
13-Aug,80487,7461,3138,703,4393,864,6208,176,1008,546,9629,1320,1878,3357,5529,2227,23057,5467,3527
13-Sep,80480,8251,3122,700,4134,814,5903,174,1066,546,9629,1324,1859,3624,5168,2216,23010,5484,3454
13-Oct,81070,8431,3172,680,4461,816,5672,178,1072,649,9629,1307,1877,3294,5613,2191,23018,5489,3519
13-Nov,81839,9335,3172,682,4470,795,5697,172,1085,649,9629,1285,1871,3603,5600,2355,22682,5386,3371
13-Dec,81483,9935,3090,673,4171,771,5718,160,992,649,9629,1211,1877,3446,5343,2334,22347,5856,3281
14-Jan,83226,9882,3060,696,4374,768,5620,164,1015,911,11233,1253,1746,3300,5523,2384,22458,5469,3367
14-Feb,84178,9653,3099,694,4372,749,5623,162,1064,911,11233,1270,1755,3414,5534,2559,22534,6146,3404
14-Mar,84642,9645,3114,667,4454,767,5597,163,1090,911,11233,1277,1746,3401,5556,2648,23059,5845,3471
14-Apr,86129,9240,3113,667,4522,779,5502,164,1139,1138,11233,1286,1663,3545,5424,2641,23560,7028,3484
14-May,84944,8466,3121,663,4545,786,5554,165,1195,1138,11233,1274,1762,3596,5434,2720,23790,6098,3403
14-Jun,85334,8415,3067,638,4496,784,5559,166,1254,1138,11233,1276,1728,3580,5472,2787,23938,6328,3473
14-Jul,84811,6296,3080,636,4432,792,5327,163,1294,1595,12089,1260,1728,3547,5438,2987,24010,6636,3500
14-Aug,85321,6140,3045,638,4610,798,5210,162,1349,1595,12089,1245,1736,3575,5316,3083,24204,6981,3545
14-Sep,87517,8662,3070,631,4516,806,5349,159,1423,1595,12089,1225,1739,3551,5510,3229,23983,6505,3474
14-Oct,88249,8757,3046,640,4608,807,5237,159,1437,1957,12089,1201,1733,3572,5541,3276,24171,6547,3473
14-Nov,88731,9412,3083,646,4546,797,5268,155,1438,1957,12089,1196,1702,3393,5491,3267,24210,6554,3529
14-Dec,89357,9730,3019,645,4546,782,4900,165,1516,1957,12089,1183,1723,3463,5470,3474,24681,6506,3508
15-Jan,90002,9417,2907,707,4544,877,4953,162,1476,2183,13162,1196,1717,3474,5744,3557,23923,6672,3333
15-Feb,90018,9089,2794,715,4628,872,5060,163,1480,2183,13244,1213,1711,3406,5397,3539,24353,6669,3499
15-Mar,91210,9677,2868,687,4615,859,5077,162,1527,2183,13328,1265,1675,3126,5500,3673,24470,6970,3549
15-Apr,91958,9490,2909,687,4622,774,5114,162,1534,2580,13092,1254,1668,3613,5576,3711,24578,6999,3594
15-May,90027,8431,2884,684,4574,768,5065,162,1625,2580,12624,1227,1664,3638,5397,3822,24346,6924,3614
15-Jun,88672,7434,2804,652,4622,765,4863,161,1655,2580,12562,1207,1695,3558,5472,3730,24284,7036,3592
15-Jul,88910,7140,2751,620,4569,756,4910,162,1658,2832,12961,1166,1673,3809,5401,3600,24331,7028,3542
15-Aug,88540,6583,2700,628,4678,758,4893,158,1644,2832,13218,1054,1675,3887,5420,3701,24176,6888,3647
15-Sep,90715,8705,2708,613,4616,750,5004,157,1604,2832,13270,1022,1671,3913,5440,3723,24186,6810,3691
15-Oct,90519,9014,2677,598,4719,744,4903,159,1657,3428,13137,1005,1664,3616,5441,3495,23857,6753,3652
15-Nov,90874,9659,2633,600,4701,724,4869,156,1678,3428,13645,1016,1646,3413,5463,3249,23652,6717,3626
15-Dec,90713,9808,2586,595,4633,702,4910,152,1673,3428,13993,1092,1643,3526,5364,3436,23174,6700,3299
16-Jan,91240,9639,2503,588,4658,693,4922,149,1642,3761,14546,1087,1612,3423,5266,3686,22868,6903,3293
16-Feb,91591,9424,2471,580,4609,689,4968,149,1692,3761,14962,1061,1631,3389,5207,3727,22940,6940,3390
16-Mar,91227,9524,2395,571,4607,690,4801,148,1713,3761,14590,1063,1621,3496,5290,3622,22879,6921,3535
16-Apr,89354,8204,2350,545,4638,677,5021,147,1631,3815,14469,1048,1574,3297,5189,3694,22733,6784,3536
16-May,89893,8684,2308,584,4666,674,4770,145,1645,3815,14889,1022,1578,3479,4953,3708,22627,6833,3511
16-Jun,87871,7794,2236,560,4560,658,4656,142,1666,3815,14634,989,1539,3169,5083,3476,22639,6736,3519
16-Jul,88080,7724,2194,563,4604,662,4947,141,1699,4066,14450,978,1545,3247,4640,3846,22447,6794,3533
16-Aug,87927,8075,2160,559,4710,655,4600,133,1640,4066,14238,976,1534,3336,4694,3845,22293,6813,3599
16-Sep,87670,8309,2133,558,4673,693,4759,139,1613,4066,14077,960,1537,3164,5060,3831,21755,6740,3603
16-Oct,87686,8772,2120,545,4706,640,4722,140,1720,4091,13730,940,1522,3290,5163,3811,21575,6652,3548
16-Nov,89087,9799,2094,540,4713,615,4591,142,1762,4091,14656,925,1533,3306,5090,3869,21281,6512,3568
16-Dec,88459,9952,2035,530,4647,638,4702,135,1541,4091,14984,909,1496,3394,4978,3962,20676,6304,3485
17-Jan,87966,9726,2003,557,4614,621,4933,131,1565,4275,14893,894,1504,3327,4556,4000,20725,6256,3389
17-Feb,89419,9823,2014,547,4648,627,5157,133,1714,4367,14983,894,1492,3276,4644,4013,21206,6399,3482
17-Mar,89603,9939,1997,545,4598,620,5351,131,1749,4233,14827,893,1479,3327,4668,4085,20933,6710,3517
17-Apr,89389,9565,1998,554,4545,608,5238,132,1847,4363,14921,884,1466,3037,4705,4057,21096,6779,3597
17-May,89347,9248,1972,558,4466,597,5310,133,1861,4348,14766,882,1463,3111,4558,4257,21478,6706,3632
17-Jun,89387,8294,1950,562,4479,612,5685,133,1856,4642,14772,871,1440,2964,4710,4337,21667,6790,3623
17-Jul,88713,6636,1900,568,4520,609,5822,133,1888,5040,14746,846,1365,3091,4661,4390,22004,6871,3625
17-Aug,89166,7148,1888,556,4623,599,5917,134,1933,5169,14525,845,1412,2900,4691,4632,21544,7040,3610
17-Sep,91914,8512,1865,553,4672,602,6304,130,1930,5359,14809,841,1386,2875,4734,4648,21883,7055,3756
17-Oct,93169,9135,1851,548,4750,589,6436,130,2052,5464,14504,829,1363,2544,4741,4654,22431,7304,3844
17-Nov,95847,9420,1820,547,4748,587,6762,128,2095,5603,15705,823,1367,2658,4835,4766,22693,7334,3954
17-Dec,96810,9523,1792,547,4883,576,7032,129,2087,5839,16193,810,1332,2482,4907,4770,22654,7372,3881
18-Jan,95418,9573,1670,543,4873,564,6815,127,2072,5911,16136,826,1325,2531,4860,4569,22030,7332,3662
18-Feb,97225,9593,1665,549,4886,565,7173,124,2095,6110,16482,825,1350,2634,4809,4652,22409,7513,3791
18-Mar,98278,9542,1646,545,4882,568,7448,122,2114,6161,16280,842,1391,2667,4854,4725,22751,7763,3976
18-Apr,98618,9424,1712,544,4947,569,7471,125,2245,6134,16368,837,1350,2476,4839,4607,23097,7836,4037
18-May,99091,9121,1661,547,4995,568,7763,122,2333,6188,16094,819,1348,2496,4740,4820,23601,7867,4008
18-Jun,98428,7634,1637,548,4827,538,7796,119,2301,6187,16451,821,1365,2604,4594,4800,23964,8062,4181
